dates,oil_price
30-Nov-2022,79.54626370191575
1-Dec-2022,78.54951833963395
2-Dec-2022,77.78526814222336
3-Dec-2022,77.23072386741639
4-Dec-2022,76.84672139406204
5-Dec-2022,76.59259107351303
6-Dec-2022,76.43340648174286
7-Dec-2022,76.34423798799514
8-Dec-2022,76.30522578001023
9-Dec-2022,76.29945988178254
10-Dec-2022,76.3187891316414
11-Dec-2022,76.35850422143936
12-Dec-2022,76.41538323163986
13-Dec-2022,76.48526555538177
14-Dec-2022,76.5701101922989
15-Dec-2022,76.66853631973267
16-Dec-2022,76.77932636499405
17-Dec-2022,76.89900446414947
18-Dec-2022,77.02963618278504
19-Dec-2022,77.1678476881981
20-Dec-2022,77.31387705326081
21-Dec-2022,77.463665702343
22-Dec-2022,77.61785529851913
23-Dec-2022,77.77616468906403
24-Dec-2022,77.9373241519928
25-Dec-2022,78.09994832992554
26-Dec-2022,78.26266093492508
27-Dec-2022,78.42576579332352
28-Dec-2022,78.58968916893005
29-Dec-2022,78.75377806186677
